!CSV A.01.01
!Keysight Technologies,P5004B,MY61400324,A.19.30.21
!Date: Thursday, November 06, 2025 15:38:14
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S11(DB),S11(DEG)
6564841627.2357,-0.0072214552,-26.832602,-0.0072214552,-26.832602
6564867367.5397,-0.0094449213,-26.843567,-0.0094449213,-26.843567
6564893107.8437,-0.0046013379,-26.809219,-0.0046013379,-26.809219
6564918848.1477,-0.0050903512,-26.798929,-0.0050903512,-26.798929
6564944588.4517,-0.0044715134,-26.840605,-0.0044715134,-26.840605
6564970328.7557,-0.0095406501,-26.825251,-0.0095406501,-26.825251
6564996069.0597,3.779335e-05,-26.84745,3.779335e-05,-26.84745
6565021809.3637,-0.0032929077,-26.837133,-0.0032929077,-26.837133
6565047549.6678,-0.0027618755,-26.845325,-0.0027618755,-26.845325
6565073289.9718,-0.0028227465,-26.868832,-0.0028227465,-26.868832
6565099030.2758,-0.0037825513,-26.852261,-0.0037825513,-26.852261
6565124770.5798,0.0054760878,-26.861258,0.0054760878,-26.861258
6565150510.8838,0.00067608885,-26.886044,0.00067608885,-26.886044
6565176251.1878,-0.0023484922,-26.885523,-0.0023484922,-26.885523
6565201991.4918,0.0032272986,-26.907202,0.0032272986,-26.907202
6565227731.7958,0.0057842489,-26.907446,0.0057842489,-26.907446
6565253472.0998,-0.0015482568,-26.922987,-0.0015482568,-26.922987
6565279212.4038,0.0066202064,-26.938564,0.0066202064,-26.938564
6565304952.7078,0.0011082957,-26.916243,0.0011082957,-26.916243
6565330693.0118,0.00051458256,-26.953011,0.00051458256,-26.953011
6565356433.3158,0.0051441183,-26.972616,0.0051441183,-26.972616
6565382173.6198,0.0056968699,-26.955545,0.0056968699,-26.955545
6565407913.9238,0.0055283112,-26.966564,0.0055283112,-26.966564
6565433654.2278,0.0015461525,-27.009869,0.0015461525,-27.009869
6565459394.5318,0.003648906,-26.993876,0.003648906,-26.993876
6565485134.8358,0.0027306287,-26.999136,0.0027306287,-26.999136
6565510875.1398,0.0095837926,-27.021906,0.0095837926,-27.021906
6565536615.4439,-0.00034507367,-27.016785,-0.00034507367,-27.016785
6565562355.7479,-0.00060680951,-27.041666,-0.00060680951,-27.041666
6565588096.0519,0.0098214122,-27.088604,0.0098214122,-27.088604
6565613836.3559,0.0052625341,-27.068876,0.0052625341,-27.068876
6565639576.6599,0.009811081,-27.019091,0.009811081,-27.019091
6565665316.9639,0.0027006199,-27.066835,0.0027006199,-27.066835
6565691057.2679,0.0086171674,-27.041925,0.0086171674,-27.041925
6565716797.5719,-0.0015684551,-27.065023,-0.0015684551,-27.065023
6565742537.8759,0.0046833521,-27.069395,0.0046833521,-27.069395
6565768278.1799,0.010649363,-27.148443,0.010649363,-27.148443
6565794018.4839,0.0090852669,-27.100573,0.0090852669,-27.100573
6565819758.7879,0.014992096,-27.098783,0.014992096,-27.098783
6565845499.0919,0.011724481,-27.132011,0.011724481,-27.132011
6565871239.3959,0.00014702982,-27.1479,0.00014702982,-27.1479
6565896979.6999,0.003291965,-27.097479,0.003291965,-27.097479
6565922720.0039,0.0060024303,-27.146605,0.0060024303,-27.146605
6565948460.3079,0.011780244,-27.158318,0.011780244,-27.158318
6565974200.6119,0.0091513954,-27.16827,0.0091513954,-27.16827
6565999940.9159,0.0076503274,-27.188681,0.0076503274,-27.188681
6566025681.22,0.0083391778,-27.182325,0.0083391778,-27.182325
6566051421.524,0.0065835039,-27.194508,0.0065835039,-27.194508
6566077161.828,0.0071438258,-27.222782,0.0071438258,-27.222782
6566102902.132,0.0047542024,-27.250053,0.0047542024,-27.250053
6566128642.436,0.0065426659,-27.218887,0.0065426659,-27.218887
6566154382.74,0.011695568,-27.212738,0.011695568,-27.212738
6566180123.044,0.01200845,-27.238373,0.01200845,-27.238373
6566205863.348,0.0077588558,-27.245338,0.0077588558,-27.245338
6566231603.652,0.0065281917,-27.264057,0.0065281917,-27.264057
6566257343.956,0.0050737914,-27.292271,0.0050737914,-27.292271
6566283084.26,0.0046921438,-27.312956,0.0046921438,-27.312956
6566308824.564,0.0076456759,-27.303259,0.0076456759,-27.303259
6566334564.868,0.0015906603,-27.299007,0.0015906603,-27.299007
6566360305.172,0.007843609,-27.31031,0.007843609,-27.31031
6566386045.476,0.0080332654,-27.335585,0.0080332654,-27.335585
6566411785.78,-0.00021511772,-27.361383,-0.00021511772,-27.361383
6566437526.084,0.0030260507,-27.370815,0.0030260507,-27.370815
6566463266.388,0.0077004572,-27.370853,0.0077004572,-27.370853
6566489006.692,0.015109728,-27.405319,0.015109728,-27.405319
6566514746.9961,0.0086223343,-27.396677,0.0086223343,-27.396677
6566540487.3001,0.0058457749,-27.395002,0.0058457749,-27.395002
6566566227.6041,0.0059388382,-27.398291,0.0059388382,-27.398291
6566591967.9081,0.0055624372,-27.40995,0.0055624372,-27.40995
6566617708.2121,0.0078539448,-27.427013,0.0078539448,-27.427013
6566643448.5161,0.0025474674,-27.431267,0.0025474674,-27.431267
