# aas taus frs Qrs Qcs Qis bws phi0s chi2s
1.099398470641017034e-01 4.835317539369163205e-08 5.508879047372738838e+09 1.035621405434988264e+04 1.175866345655002078e+04 8.683039513443755277e+04 5.319394730991355609e+05 -1.816460050954307737e-01 8.664384168840033595e-01
1.048244564698218723e-01 4.835265191830838171e-08 5.515898148238488197e+09 8.455296732424705624e+03 9.428191537203709231e+03 8.193913330157114251e+04 6.523600912888017483e+05 -1.796593893726063651e-01 5.636712932760175043e+00
1.015997122140577108e-01 4.835431269913777620e-08 5.522768257997735977e+09 6.876725153375930859e+03 7.278058956870979273e+03 1.247071905247203831e+05 8.031102210456224857e+05 -3.039129367336730891e-01 1.833402903628486291e-01
1.054290004338336167e-01 4.835187989484324510e-08 5.530383127823612213e+09 5.713894434973075477e+03 5.977060761973754779e+03 1.297745597416406090e+05 9.678833220953043783e+05 -2.229177650382123954e-01 2.574534404039726443e+00
1.150088269463088592e-01 4.834899913254440516e-08 5.536321540390162468e+09 4.506916367109522071e+03 4.782275061746090614e+03 7.827359065690742864e+04 1.228405652430786518e+06 -1.275630928856428259e-01 4.213630756285819068e+00
9.393425077572481463e-02 4.834986760853672592e-08 5.543652848940889359e+09 5.791052621220675974e+03 6.057580794092070391e+03 1.316174900310054654e+05 9.572789631761906203e+05 -1.697237520548794676e-01 5.756731411722829428e+00
1.012507055609226936e-01 4.835096290639871558e-08 5.550360384287575722e+09 5.726654106725035490e+03 5.972250967615255831e+03 1.392567291215255682e+05 9.692152312411480816e+05 -2.381182902803457013e-01 4.163846750457578239e-01
1.044443323879512137e-01 4.835084976724782574e-08 5.557294716546448708e+09 6.595630804994846585e+03 6.947289267063405532e+03 1.303018696934418258e+05 8.425721331063482212e+05 -2.285819165357518279e-01 7.103740326693586127e-01
1.032759160447013908e-01 4.835006415886347115e-08 5.563476368745053291e+09 7.444974861637378126e+03 8.045542873168718870e+03 9.973702110146604537e+04 7.472794028375636553e+05 -1.519970997226550435e-01 3.541074194696273381e+00
1.063325722247583510e-01 4.835079882143667942e-08 5.571070815753942490e+09 7.047516203808813771e+03 7.640971427113381651e+03 9.073956691385526210e+04 7.905013134617654141e+05 -5.065625876942551897e-02 2.344076367374329450e+00
1.055639955272959507e-01 4.835017452705935808e-08 5.577667801424503326e+09 5.668767364967140566e+03 6.161419340716814986e+03 7.089721466636371042e+04 9.839295639285481302e+05 6.817194259360087605e-02 1.145740644257300378e+00
1.111944204319363222e-01 4.834934447143406266e-08 5.584692910077166557e+09 4.425104995943056565e+03 4.685242971254460826e+03 7.969882926353476068e+04 1.262047548068853095e+06 9.977827766015419375e-02 4.762098576095814551e+00
1.041954581873158897e-01 4.835192706615233517e-08 5.592282262584970474e+09 4.325427317491185022e+03 4.550872056828105997e+03 8.731393054860207485e+04 1.292885500577219529e+06 2.907614159445598423e-02 1.014011346118844470e+00
1.066891790045502025e-01 4.834398493388068539e-08 5.597569143601811409e+09 3.974251354207105578e+03 4.066776240928914831e+03 1.746815538544120500e+05 1.408458762346844655e+06 2.668932923038916938e-01 2.724104487385393125e-01
9.086041025961374973e-02 4.835031168345797720e-08 5.606037302626223564e+09 5.152375000827646545e+03 5.470022913145351595e+03 8.872593906254248577e+04 1.088049162129251752e+06 8.363176653486878442e-02 1.989152284293530970e+00
1.119461769234246368e-01 4.834786153056872861e-08 5.613436306100038528e+09 5.315646458534764861e+03 5.485544378841991602e+03 1.716278486387475277e+05 1.056021379504489945e+06 2.671385770855178032e-01 7.697244444133168884e+00
5.886177755319640936e-02 4.835078340140499713e-08 5.620385230566721916e+09 9.576767722460097502e+03 7.750935280961412900e+03 -4.065482961659925058e+04 5.868770542889336357e+05 7.765164834593790699e-01 9.291843835372457505e-01
9.938160057343221887e-02 4.835170021294602726e-08 5.628539740621183395e+09 7.643250837839060296e+03 8.419338497706488852e+03 8.291732925844778947e+04 7.364065186446914449e+05 -2.474983691748137427e-01 2.472040459491354536e+00
1.027178148890445925e-01 4.834914334708277574e-08 5.634338571235092163e+09 5.836277717927603589e+03 6.387065232521078542e+03 6.767888797738267749e+04 9.653993253144543851e+05 -1.063662339737060231e-01 8.252637233513065995e-01
9.578117328466267955e-02 4.835135408362891383e-08 5.641712471244391441e+09 5.780856614775397247e+03 6.181646155267882932e+03 8.916203257941879565e+04 9.759301859908850165e+05 -1.813348801500210550e-01 3.382824028453481624e-01
1.021368778138676409e-01 4.834863705277934271e-08 5.648732101779776573e+09 5.518131146927576083e+03 5.872031296664089496e+03 9.155870326130157628e+04 1.023667606183103751e+06 -3.999528946736336660e-02 6.995210120380878083e-01
1.028164719595487803e-01 4.834899633051312662e-08 5.655250375212028503e+09 6.442314097134702934e+03 6.919136990648958999e+03 9.348387919535010587e+04 8.778290362662182888e+05 -9.451782140447022307e-02 2.027688281822169980e+00
1.038818838206679585e-01 4.835044004754372190e-08 5.662257677017917633e+09 8.097264181562906742e+03 8.982788810811880467e+03 8.213889448791460018e+04 6.992803433424605755e+05 -1.456628516994108169e-01 6.062768616702239877e-01
1.017674252085995351e-01 4.835230372816194065e-08 5.669305778791783333e+09 9.787275800903989875e+03 1.089905683796353696e+04 9.594701806122303242e+04 5.792526842114885803e+05 -1.903820062706854110e-01 1.902300823187132339e+00
1.025540817555195688e-01 4.835482659971165760e-08 5.676503493653053284e+09 8.710984698055432091e+03 9.476307548351775040e+03 1.078603232816004456e+05 6.516488882043644553e+05 -2.410981028355312639e-01 2.164590793429496340e+00
1.003737116041551330e-01 4.835635962395363035e-08 5.682839177989273071e+09 6.329027595990293776e+03 6.714722880886170969e+03 1.101845629874078004e+05 8.979008373402560828e+05 -3.068733685233701602e-01 8.007283196643285805e+00
9.565213798596160222e-02 4.835923650905283079e-08 5.690680986715924263e+09 5.313221006344145280e+03 5.255729779625636183e+03 -4.857237436505268561e+05 1.071041648732676636e+06 -4.009237902884077998e-01 2.778854019648405949e+00
1.014541329995279906e-01 4.835191976562076507e-08 5.696657351629221916e+09 3.641468049104476904e+03 3.795923594268211673e+03 8.949328734501799045e+04 1.564384823596121976e+06 -1.387703502624176299e-01 6.302573357848043623e-01
